ADDA,28-Jan-2019,-34,3,-34,2,0
ADDC,28-Jan-2019,24,32,-1,14,0
ADDE,28-Jan-2019,-849,-849,-1133,-1129,0
ADDN,28-Jan-2019,-1434,-351,-1434,-372,0
ADDQ,28-Jan-2019,-1317,-527,-1317,-685,0
ADDS,28-Jan-2019,-242,-149,-295,-244,0
ADDT,28-Jan-2019,-2785,-968,-2785,-1055,0
ADDU,28-Jan-2019,-101,-101,-424,-218,0
ADDV,28-Jan-2019,54,54,-22,5,0
ADDX,28-Jan-2019,-164,-102,-291,-225,0
ADRA,28-Jan-2019,0.65,1.02,0.65,1.01,0
ADRC,28-Jan-2019,1.47,1.47,0.99,1.12,0
ADRE,28-Jan-2019,0.23,0.31,0.23,0.3,0
ADRN,28-Jan-2019,0.13,0.69,0.13,0.68,0
ADRQ,28-Jan-2019,0.24,0.63,0.24,0.56,0
ADRS,28-Jan-2019,0.56,0.77,0.56,0.73,0
ADRT,28-Jan-2019,0.2,0.65,0.2,0.62,0
ADRU,28-Jan-2019,0.84,0.89,0.69,0.89,0
ADRV,28-Jan-2019,1.31,1.31,0.93,1.01,0
ADRX,28-Jan-2019,0.79,0.89,0.78,0.84,0
ADVA,28-Jan-2019,65,108,65,107,38671500
ADVC,28-Jan-2019,75,127,75,123,54113400
ADVE,28-Jan-2019,259,505,259,505,388653000
ADVN,28-Jan-2019,216,808,216,798,1385070000
ADVQ,28-Jan-2019,437,925,437,886,894686000
ADVS,28-Jan-2019,320,683,320,683,201544600
ADVT,28-Jan-2019,718,1832,718,1791,2318428000
ADVU,28-Jan-2019,572,1786,572,1781,3179107000
ADVV,28-Jan-2019,224,404,224,404,99318700
ADVX,28-Jan-2019,619,1211,619,1210,354976700
ASHD,28-Jan-2019,148,1398,148,1367,0
ASHF,28-Jan-2019,-84,-84,-958,-824,0
ASHR,28-Jan-2019,0.43,0.43,0.28,0.39,0
ASHU,28-Jan-2019,64,543,64,543,0
AVDA,28-Jan-2019,3.91,8.42,-1.17,2.46,0
AVDC,28-Jan-2019,-5.3,21.55,-5.3,17.5,0
AVDE,28-Jan-2019,-41.5,-41.5,-832.59,-753.88,0
AVDN,28-Jan-2019,-177.69,-177.69,-1095.22,-720.31,0
AVDQ,28-Jan-2019,-69.98,-69.98,-456.98,-384.96,0
AVDS,28-Jan-2019,-9.57,50.18,-9.57,50.02,0
AVDT,28-Jan-2019,-243.76,-243.76,-1405.06,-1102.82,0
AVDU,28-Jan-2019,20.94,883.24,-590.45,517.12,0
AVDV,28-Jan-2019,7.51,43.22,7.51,40.09,0
AVDX,28-Jan-2019,-7.36,107.67,-7.36,107.63,0
AVLD,28-Jan-2019,1.43,930.46,1.43,930.4,0
AVLF,28-Jan-2019,0.47,0.47,-627.99,-612.44,0
AVLR,28-Jan-2019,1.32,1.32,0.32,0.34,0
AVLU,28-Jan-2019,1.9,317.96,1.9,317.96,0
AVRA,28-Jan-2019,2.27,2.27,0.94,1.06,0
AVRC,28-Jan-2019,0.49,1.96,0.49,1.47,0
AVRE,28-Jan-2019,0.42,0.42,0.32,0.34,0
AVRN,28-Jan-2019,0.1,0.65,0.1,0.65,0
AVRQ,28-Jan-2019,0.36,0.81,0.36,0.69,0
AVRS,28-Jan-2019,0.47,1.98,0.47,1.33,0
AVRT,28-Jan-2019,0.21,0.69,0.21,0.67,0
AVRU,28-Jan-2019,1.09,1.61,0.77,1.19,0
AVRV,28-Jan-2019,1.89,2.03,1.42,1.67,0
AVRX,28-Jan-2019,0.8,1.78,0.8,1.43,0
AVVA,28-Jan-2019,6.96,42.88,6.96,38.67,0
AVVC,28-Jan-2019,5.28,56.59,5.28,54.11,0
AVVE,28-Jan-2019,30.46,409.1,30.46,388.65,0
AVVN,28-Jan-2019,20.24,1586.65,20.24,1385.07,0
AVVQ,28-Jan-2019,40.95,965.21,40.95,894.68,0
