A,05-Nov-2018,66.03,66.39,65.23,65.91,2178300
AA,05-Nov-2018,36.84,37.17,36.38,36.6,1774600
AAC,05-Nov-2018,5.75,5.85,5.24,5.31,272900
AAN,05-Nov-2018,49.03,49.58,48.57,49.29,533000
AAP,05-Nov-2018,165.24,166.11,163.29,165.11,1250600
AAT,05-Nov-2018,37.95,39.02,37.95,38.47,187400
AB,05-Nov-2018,28.54,29.18,28.3,28.92,249500
ABB,05-Nov-2018,20.43,20.45,20.205,20.32,2962800
ABBV,05-Nov-2018,79.45,83.83,79.27,82.58,10315500
ABC,05-Nov-2018,89.17,89.57,88.25,88.56,1162700
ABEV,05-Nov-2018,4.4,4.43,4.32,4.38,28190600
ABG,05-Nov-2018,68.35,68.71,66.73,67.23,238200
ABM,05-Nov-2018,32.09,32.45,31.56,31.59,578200
ABR,05-Nov-2018,12.27,12.31,12.11,12.14,1147100
ABR-A,05-Nov-2018,25.585,25.65,25.55,25.6,1900
ABR-B,05-Nov-2018,25.4,25.4,25.38,25.38,1400
ABR-C,05-Nov-2018,25.79,25.79,25.63,25.68,3200
ABT,05-Nov-2018,70.48,71,69.99,70.39,8558600
ABX,05-Nov-2018,13.17,13.46,13.07,13.21,12969600
AC,05-Nov-2018,41.3,43.57,41.06,42.53,25100
ACA,05-Nov-2018,28.39,30.07,28.07,29.13,1963400
ACB,05-Nov-2018,7.18,7.35,6.85,7.35,12570600
ACC,05-Nov-2018,39.66,40.29,39.66,39.87,649100
ACCO,05-Nov-2018,8.96,9.02,8.35,8.39,861600
ACH,05-Nov-2018,9.63,9.84,9.63,9.81,46700
ACM,05-Nov-2018,31.06,32.23,31.02,32,1232300
ACN,05-Nov-2018,157.63,158.96,156.73,158.6,1705200
ACP,05-Nov-2018,13.02,13.04,12.8,12.93,179100
ACRE,05-Nov-2018,14.52,14.55,14.38,14.48,74700
ACV,05-Nov-2018,22.43,22.593,22.325,22.55,13100
ADC,05-Nov-2018,57.24,58.45,56.91,58,330500
ADM,05-Nov-2018,48.06,48.38,47.83,48.1,3683500
ADNT,05-Nov-2018,32.25,32.59,30,30.17,1421700
ADS,05-Nov-2018,205.47,208.35,203.92,205.92,280200
ADSW,05-Nov-2018,25.27,25.5,24.995,25.2,394500
ADT,05-Nov-2018,7.79,7.84,7.55,7.7,1085900
ADX,05-Nov-2018,15.47,15.58,15.43,15.54,516100
AEB,05-Nov-2018,22.7,22.83,22.63,22.75,5600
AED,05-Nov-2018,25.41,25.5,25.41,25.5,11400
AEE,05-Nov-2018,63.97,64.89,63.83,64.65,1116200
AEG,05-Nov-2018,6.2,6.225,6.16,6.18,709300
AEH,05-Nov-2018,25.3,25.31,25.28,25.31,29600
AEL,05-Nov-2018,32.08,32.88,31.975,32.52,624600
AEM,05-Nov-2018,37.15,37.37,35.97,36.32,1403200
AEO,05-Nov-2018,22.23,22.59,21.83,22.46,2438000
AEP,05-Nov-2018,72.92,73.88,72.73,73.5,2188300
AER,05-Nov-2018,50.99,51.65,50.58,50.88,856700
AES,05-Nov-2018,14.66,15.09,14.62,15.07,9113900
AFB,05-Nov-2018,11.92,12.02,11.89,12.01,62800
AFC,05-Nov-2018,25.37,25.53,25.37,25.53,5000
AFG,05-Nov-2018,100.84,102.615,100.84,101.99,320200
