Symbol|Name|LastSale|MarketCap|ADR TSO|IPOyear|Sector|Industry|Summary Quote,
DDD|3D Systems Corporation|11.54|1317643466.22|n/a|n/a|Technology|Computer Software: Prepackaged Software|https://www.nasdaq.com/symbol/ddd,
MMM|3M Company|193.2|112497874482|n/a|n/a|Health Care|Medical/Dental Instruments|https://www.nasdaq.com/symbol/mmm,
WBAI|500.com Limited|14.52|616889213.16|n/a|2013|Consumer Services|Services-Misc. Amusement & Recreation|https://www.nasdaq.com/symbol/wbai,
WUBA|58.com Inc.|62.19|9212749857.54|n/a|2013|Technology|Computer Software: Programming, Data Processing|https://www.nasdaq.com/symbol/wuba,
EGHT|8x8 Inc|19.43|1853062046.83|n/a|n/a|Technology|EDP Services|https://www.nasdaq.com/symbol/eght,
AHC|A.H. Belo Corporation|3.96|85705198.92|n/a|n/a|Consumer Services|Newspapers/Magazines|https://www.nasdaq.com/symbol/ahc,
AOS|A.O Smith Corporation|48.2|8191635645.4|n/a|n/a|Consumer Durables|Consumer Electronics/Appliances|https://www.nasdaq.com/symbol/aos,
ATEN|A10 Networks, Inc.|6.52|481165678.84|n/a|2014|Technology|Computer Communications Equipment|https://www.nasdaq.com/symbol/aten,
AAC|AAC Holdings, Inc.|2.22|54617228.1|n/a|2014|Health Care|Medical Specialities|https://www.nasdaq.com/symbol/aac,
AIR|AAR Corp.|36.87|1294137000|n/a|n/a|Capital Goods|Aerospace|https://www.nasdaq.com/symbol/air,
AAN|Aaron&#39;s,  Inc.|49.59|3599157946.59|n/a|n/a|Technology|Diversified Commercial Services|https://www.nasdaq.com/symbol/aan,
ABB|ABB Ltd|19.21|40951947271.26|n/a|n/a|Consumer Durables|Electrical Products|https://www.nasdaq.com/symbol/abb,
ABT|Abbott Laboratories|69.05|121274795859.6|n/a|n/a|Health Care|Major Pharmaceuticals|https://www.nasdaq.com/symbol/abt,
ABBV|AbbVie Inc.|77.14|116035247464.78|n/a|2012|Health Care|Major Pharmaceuticals|https://www.nasdaq.com/symbol/abbv,
ANF|Abercrombie & Fitch Company|21.5|1415669069.5|n/a|n/a|Consumer Services|Clothing/Shoe/Accessory Stores|https://www.nasdaq.com/symbol/anf,
AGD|Aberdeen Global Dynamic Dividend Fund|9.39|117840574.98|n/a|2006|n/a|n/a|https://www.nasdaq.com/symbol/agd,
